Aya Text,Sura Number,Sura Name,Aya Number,Number of Ayat,Aya Words,Aya Word Count,Aya Letter Count,Aya Sequ Order,Order,Sura Name EN,Place,Note
وقالوا لن نؤمن لك حتى تفجر لنا من الأرض ينبوعا,17,الإسراء,90,111,"['وقالوا', 'لن', 'نؤمن', 'لك', 'حتى', 'تفجر', 'لنا', 'من', 'الأرض', 'ينبوعا']",10,46,2119,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
أو تكون لك جنة من نخيل وعنب فتفجر الأنهر خللها تفجيرا,17,الإسراء,91,111,"['أو', 'تكون', 'لك', 'جنة', 'من', 'نخيل', 'وعنب', 'فتفجر', 'الأنهر', 'خللها', 'تفجيرا']",11,53,2120,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
أو تسقط السماء كما زعمت علينا كسفا أو تأتى بالله والملئكة قبيلا,17,الإسراء,92,111,"['أو', 'تسقط', 'السماء', 'كما', 'زعمت', 'علينا', 'كسفا', 'أو', 'تأتى', 'بالله', 'والملئكة', 'قبيلا']",12,63,2121,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
أو يكون لك بيت من زخرف أو ترقى فى السماء ولن نؤمن لرقيك حتى تنزل علينا كتبا نقرؤه قل سبحان ربى هل كنت إلا بشرا رسولا,17,الإسراء,93,111,"['أو', 'يكون', 'لك', 'بيت', 'من', 'زخرف', 'أو', 'ترقى', 'فى', 'السماء', 'ولن', 'نؤمن', 'لرقيك', 'حتى', 'تنزل', 'علينا', 'كتبا', 'نقرؤه', 'قل', 'سبحان', 'ربى', 'هل', 'كنت', 'إلا', 'بشرا', 'رسولا']",26,116,2122,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
وما منع الناس أن يؤمنوا إذ جاءهم الهدى إلا أن قالوا أبعث الله بشرا رسولا,17,الإسراء,94,111,"['وما', 'منع', 'الناس', 'أن', 'يؤمنوا', 'إذ', 'جاءهم', 'الهدى', 'إلا', 'أن', 'قالوا', 'أبعث', 'الله', 'بشرا', 'رسولا']",15,72,2123,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
قل لو كان فى الأرض ملئكة يمشون مطمئنين لنزلنا عليهم من السماء ملكا رسولا,17,الإسراء,95,111,"['قل', 'لو', 'كان', 'فى', 'الأرض', 'ملئكة', 'يمشون', 'مطمئنين', 'لنزلنا', 'عليهم', 'من', 'السماء', 'ملكا', 'رسولا']",14,72,2124,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
قل كفى بالله شهيدا بينى وبينكم إنه كان بعباده خبيرا بصيرا,17,الإسراء,96,111,"['قل', 'كفى', 'بالله', 'شهيدا', 'بينى', 'وبينكم', 'إنه', 'كان', 'بعباده', 'خبيرا', 'بصيرا']",11,57,2125,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
ومن يهد الله فهو المهتد ومن يضلل فلن تجد لهم أولياء من دونه ونحشرهم يوم القيمة على وجوههم عميا وبكما وصما مأوىهم جهنم كلما خبت زدنهم سعيرا,17,الإسراء,97,111,"['ومن', 'يهد', 'الله', 'فهو', 'المهتد', 'ومن', 'يضلل', 'فلن', 'تجد', 'لهم', 'أولياء', 'من', 'دونه', 'ونحشرهم', 'يوم', 'القيمة', 'على', 'وجوههم', 'عميا', 'وبكما', 'وصما', 'مأوىهم', 'جهنم', 'كلما', 'خبت', 'زدنهم', 'سعيرا']",27,138,2126,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
ذلك جزاؤهم بأنهم كفروا بٔايتنا وقالوا أءذا كنا عظما ورفتا أءنا لمبعوثون خلقا جديدا,17,الإسراء,98,111,"['ذلك', 'جزاؤهم', 'بأنهم', 'كفروا', 'بٔايتنا', 'وقالوا', 'أءذا', 'كنا', 'عظما', 'ورفتا', 'أءنا', 'لمبعوثون', 'خلقا', 'جديدا']",14,82,2127,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
أولم يروا أن الله الذى خلق السموت والأرض قادر على أن يخلق مثلهم وجعل لهم أجلا لا ريب فيه فأبى الظلمون إلا كفورا,17,الإسراء,99,111,"['أولم', 'يروا', 'أن', 'الله', 'الذى', 'خلق', 'السموت', 'والأرض', 'قادر', 'على', 'أن', 'يخلق', 'مثلهم', 'وجعل', 'لهم', 'أجلا', 'لا', 'ريب', 'فيه', 'فأبى', 'الظلمون', 'إلا', 'كفورا']",23,111,2128,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
قل لو أنتم تملكون خزائن رحمة ربى إذا لأمسكتم خشية الإنفاق وكان الإنسن قتورا,17,الإسراء,100,111,"['قل', 'لو', 'أنتم', 'تملكون', 'خزائن', 'رحمة', 'ربى', 'إذا', 'لأمسكتم', 'خشية', 'الإنفاق', 'وكان', 'الإنسن', 'قتورا']",14,75,2129,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
ولقد ءاتينا موسى تسع ءايت بينت فسٔل بنى إسرءيل إذ جاءهم فقال له فرعون إنى لأظنك يموسى مسحورا,17,الإسراء,101,111,"['ولقد', 'ءاتينا', 'موسى', 'تسع', 'ءايت', 'بينت', 'فسٔل', 'بنى', 'إسرءيل', 'إذ', 'جاءهم', 'فقال', 'له', 'فرعون', 'إنى', 'لأظنك', 'يموسى', 'مسحورا']",18,92,2130,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
قال لقد علمت ما أنزل هؤلاء إلا رب السموت والأرض بصائر وإنى لأظنك يفرعون مثبورا,17,الإسراء,102,111,"['قال', 'لقد', 'علمت', 'ما', 'أنزل', 'هؤلاء', 'إلا', 'رب', 'السموت', 'والأرض', 'بصائر', 'وإنى', 'لأظنك', 'يفرعون', 'مثبورا']",15,78,2131,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
فأراد أن يستفزهم من الأرض فأغرقنه ومن معه جميعا,17,الإسراء,103,111,"['فأراد', 'أن', 'يستفزهم', 'من', 'الأرض', 'فأغرقنه', 'ومن', 'معه', 'جميعا']",9,47,2132,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
وقلنا من بعده لبنى إسرءيل اسكنوا الأرض فإذا جاء وعد الءاخرة جئنا بكم لفيفا,17,الإسراء,104,111,"['وقلنا', 'من', 'بعده', 'لبنى', 'إسرءيل', 'اسكنوا', 'الأرض', 'فإذا', 'جاء', 'وعد', 'الءاخرة', 'جئنا', 'بكم', 'لفيفا']",14,74,2133,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
وبالحق أنزلنه وبالحق نزل وما أرسلنك إلا مبشرا ونذيرا,17,الإسراء,105,111,"['وبالحق', 'أنزلنه', 'وبالحق', 'نزل', 'وما', 'أرسلنك', 'إلا', 'مبشرا', 'ونذيرا']",9,52,2134,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
وقرءانا فرقنه لتقرأه على الناس على مكث ونزلنه تنزيلا,17,الإسراء,106,111,"['وقرءانا', 'فرقنه', 'لتقرأه', 'على', 'الناس', 'على', 'مكث', 'ونزلنه', 'تنزيلا']",9,52,2135,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
قل ءامنوا به أو لا تؤمنوا إن الذين أوتوا العلم من قبله إذا يتلى عليهم يخرون للأذقان سجدا,17,الإسراء,107,111,"['قل', 'ءامنوا', 'به', 'أو', 'لا', 'تؤمنوا', 'إن', 'الذين', 'أوتوا', 'العلم', 'من', 'قبله', 'إذا', 'يتلى', 'عليهم', 'يخرون', 'للأذقان', 'سجدا']",18,88,2136,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
ويقولون سبحن ربنا إن كان وعد ربنا لمفعولا,17,الإسراء,108,111,"['ويقولون', 'سبحن', 'ربنا', 'إن', 'كان', 'وعد', 'ربنا', 'لمفعولا']",8,41,2137,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
ويخرون للأذقان يبكون ويزيدهم خشوعا,17,الإسراء,109,111,"['ويخرون', 'للأذقان', 'يبكون', 'ويزيدهم', 'خشوعا']",5,34,2138,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
قل ادعوا الله أو ادعوا الرحمن أيا ما تدعوا فله الأسماء الحسنى ولا تجهر بصلاتك ولا تخافت بها وابتغ بين ذلك سبيلا,17,الإسراء,110,111,"['قل', 'ادعوا', 'الله', 'أو', 'ادعوا', 'الرحمن', 'أيا', 'ما', 'تدعوا', 'فله', 'الأسماء', 'الحسنى', 'ولا', 'تجهر', 'بصلاتك', 'ولا', 'تخافت', 'بها', 'وابتغ', 'بين', 'ذلك', 'سبيلا']",22,111,2139,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
وقل الحمد لله الذى لم يتخذ ولدا ولم يكن له شريك فى الملك ولم يكن له ولى من الذل وكبره تكبيرا,17,الإسراء,111,111,"['وقل', 'الحمد', 'لله', 'الذى', 'لم', 'يتخذ', 'ولدا', 'ولم', 'يكن', 'له', 'شريك', 'فى', 'الملك', 'ولم', 'يكن', 'له', 'ولى', 'من', 'الذل', 'وكبره', 'تكبيرا']",21,92,2140,50,Al-Israa,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
الحمد لله الذى أنزل على عبده الكتب ولم يجعل له عوجا,18,الكهف,1,110,"['الحمد', 'لله', 'الذى', 'أنزل', 'على', 'عبده', 'الكتب', 'ولم', 'يجعل', 'له', 'عوجا']",11,51,2141,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
قيما لينذر بأسا شديدا من لدنه ويبشر المؤمنين الذين يعملون الصلحت أن لهم أجرا حسنا,18,الكهف,2,110,"['قيما', 'لينذر', 'بأسا', 'شديدا', 'من', 'لدنه', 'ويبشر', 'المؤمنين', 'الذين', 'يعملون', 'الصلحت', 'أن', 'لهم', 'أجرا', 'حسنا']",15,81,2142,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
مكثين فيه أبدا,18,الكهف,3,110,"['مكثين', 'فيه', 'أبدا']",3,14,2143,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وينذر الذين قالوا اتخذ الله ولدا,18,الكهف,4,110,"['وينذر', 'الذين', 'قالوا', 'اتخذ', 'الله', 'ولدا']",6,32,2144,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
ما لهم به من علم ولا لءابائهم كبرت كلمة تخرج من أفوههم إن يقولون إلا كذبا,18,الكهف,5,110,"['ما', 'لهم', 'به', 'من', 'علم', 'ولا', 'لءابائهم', 'كبرت', 'كلمة', 'تخرج', 'من', 'أفوههم', 'إن', 'يقولون', 'إلا', 'كذبا']",16,73,2145,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
فلعلك بخع نفسك على ءاثرهم إن لم يؤمنوا بهذا الحديث أسفا,18,الكهف,6,110,"['فلعلك', 'بخع', 'نفسك', 'على', 'ءاثرهم', 'إن', 'لم', 'يؤمنوا', 'بهذا', 'الحديث', 'أسفا']",11,55,2146,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
إنا جعلنا ما على الأرض زينة لها لنبلوهم أيهم أحسن عملا,18,الكهف,7,110,"['إنا', 'جعلنا', 'ما', 'على', 'الأرض', 'زينة', 'لها', 'لنبلوهم', 'أيهم', 'أحسن', 'عملا']",11,54,2147,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وإنا لجعلون ما عليها صعيدا جرزا,18,الكهف,8,110,"['وإنا', 'لجعلون', 'ما', 'عليها', 'صعيدا', 'جرزا']",6,31,2148,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
أم حسبت أن أصحب الكهف والرقيم كانوا من ءايتنا عجبا,18,الكهف,9,110,"['أم', 'حسبت', 'أن', 'أصحب', 'الكهف', 'والرقيم', 'كانوا', 'من', 'ءايتنا', 'عجبا']",10,50,2149,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
إذ أوى الفتية إلى الكهف فقالوا ربنا ءاتنا من لدنك رحمة وهيئ لنا من أمرنا رشدا,18,الكهف,10,110,"['إذ', 'أوى', 'الفتية', 'إلى', 'الكهف', 'فقالوا', 'ربنا', 'ءاتنا', 'من', 'لدنك', 'رحمة', 'وهيئ', 'لنا', 'من', 'أمرنا', 'رشدا']",16,77,2150,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
فضربنا على ءاذانهم فى الكهف سنين عددا,18,الكهف,11,110,"['فضربنا', 'على', 'ءاذانهم', 'فى', 'الكهف', 'سنين', 'عددا']",7,37,2151,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
ثم بعثنهم لنعلم أى الحزبين أحصى لما لبثوا أمدا,18,الكهف,12,110,"['ثم', 'بعثنهم', 'لنعلم', 'أى', 'الحزبين', 'أحصى', 'لما', 'لبثوا', 'أمدا']",9,46,2152,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
نحن نقص عليك نبأهم بالحق إنهم فتية ءامنوا بربهم وزدنهم هدى,18,الكهف,13,110,"['نحن', 'نقص', 'عليك', 'نبأهم', 'بالحق', 'إنهم', 'فتية', 'ءامنوا', 'بربهم', 'وزدنهم', 'هدى']",11,58,2153,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وربطنا على قلوبهم إذ قاموا فقالوا ربنا رب السموت والأرض لن ندعوا من دونه إلها لقد قلنا إذا شططا,18,الكهف,14,110,"['وربطنا', 'على', 'قلوبهم', 'إذ', 'قاموا', 'فقالوا', 'ربنا', 'رب', 'السموت', 'والأرض', 'لن', 'ندعوا', 'من', 'دونه', 'إلها', 'لقد', 'قلنا', 'إذا', 'شططا']",19,95,2154,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
هؤلاء قومنا اتخذوا من دونه ءالهة لولا يأتون عليهم بسلطن بين فمن أظلم ممن افترى على الله كذبا,18,الكهف,15,110,"['هؤلاء', 'قومنا', 'اتخذوا', 'من', 'دونه', 'ءالهة', 'لولا', 'يأتون', 'عليهم', 'بسلطن', 'بين', 'فمن', 'أظلم', 'ممن', 'افترى', 'على', 'الله', 'كذبا']",18,92,2155,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وإذ اعتزلتموهم وما يعبدون إلا الله فأوا إلى الكهف ينشر لكم ربكم من رحمته ويهيئ لكم من أمركم مرفقا,18,الكهف,16,110,"['وإذ', 'اعتزلتموهم', 'وما', 'يعبدون', 'إلا', 'الله', 'فأوا', 'إلى', 'الكهف', 'ينشر', 'لكم', 'ربكم', 'من', 'رحمته', 'ويهيئ', 'لكم', 'من', 'أمركم', 'مرفقا']",19,97,2156,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وترى الشمس إذا طلعت تزور عن كهفهم ذات اليمين وإذا غربت تقرضهم ذات الشمال وهم فى فجوة منه ذلك من ءايت الله من يهد الله فهو المهتد ومن يضلل فلن تجد له وليا مرشدا,18,الكهف,17,110,"['وترى', 'الشمس', 'إذا', 'طلعت', 'تزور', 'عن', 'كهفهم', 'ذات', 'اليمين', 'وإذا', 'غربت', 'تقرضهم', 'ذات', 'الشمال', 'وهم', 'فى', 'فجوة', 'منه', 'ذلك', 'من', 'ءايت', 'الله', 'من', 'يهد', 'الله', 'فهو', 'المهتد', 'ومن', 'يضلل', 'فلن', 'تجد', 'له', 'وليا', 'مرشدا']",34,159,2157,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وتحسبهم أيقاظا وهم رقود ونقلبهم ذات اليمين وذات الشمال وكلبهم بسط ذراعيه بالوصيد لو اطلعت عليهم لوليت منهم فرارا ولملئت منهم رعبا,18,الكهف,18,110,"['وتحسبهم', 'أيقاظا', 'وهم', 'رقود', 'ونقلبهم', 'ذات', 'اليمين', 'وذات', 'الشمال', 'وكلبهم', 'بسط', 'ذراعيه', 'بالوصيد', 'لو', 'اطلعت', 'عليهم', 'لوليت', 'منهم', 'فرارا', 'ولملئت', 'منهم', 'رعبا']",22,129,2158,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وكذلك بعثنهم ليتساءلوا بينهم قال قائل منهم كم لبثتم قالوا لبثنا يوما أو بعض يوم قالوا ربكم أعلم بما لبثتم فابعثوا أحدكم بورقكم هذه إلى المدينة فلينظر أيها أزكى طعاما فليأتكم برزق منه وليتلطف ولا يشعرن بكم أحدا,18,الكهف,19,110,"['وكذلك', 'بعثنهم', 'ليتساءلوا', 'بينهم', 'قال', 'قائل', 'منهم', 'كم', 'لبثتم', 'قالوا', 'لبثنا', 'يوما', 'أو', 'بعض', 'يوم', 'قالوا', 'ربكم', 'أعلم', 'بما', 'لبثتم', 'فابعثوا', 'أحدكم', 'بورقكم', 'هذه', 'إلى', 'المدينة', 'فلينظر', 'أيها', 'أزكى', 'طعاما', 'فليأتكم', 'برزق', 'منه', 'وليتلطف', 'ولا', 'يشعرن', 'بكم', 'أحدا']",38,209,2159,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
إنهم إن يظهروا عليكم يرجموكم أو يعيدوكم فى ملتهم ولن تفلحوا إذا أبدا,18,الكهف,20,110,"['إنهم', 'إن', 'يظهروا', 'عليكم', 'يرجموكم', 'أو', 'يعيدوكم', 'فى', 'ملتهم', 'ولن', 'تفلحوا', 'إذا', 'أبدا']",13,68,2160,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وكذلك أعثرنا عليهم ليعلموا أن وعد الله حق وأن الساعة لا ريب فيها إذ يتنزعون بينهم أمرهم فقالوا ابنوا عليهم بنينا ربهم أعلم بهم قال الذين غلبوا على أمرهم لنتخذن عليهم مسجدا,18,الكهف,21,110,"['وكذلك', 'أعثرنا', 'عليهم', 'ليعلموا', 'أن', 'وعد', 'الله', 'حق', 'وأن', 'الساعة', 'لا', 'ريب', 'فيها', 'إذ', 'يتنزعون', 'بينهم', 'أمرهم', 'فقالوا', 'ابنوا', 'عليهم', 'بنينا', 'ربهم', 'أعلم', 'بهم', 'قال', 'الذين', 'غلبوا', 'على', 'أمرهم', 'لنتخذن', 'عليهم', 'مسجدا']",32,171,2161,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
سيقولون ثلثة رابعهم كلبهم ويقولون خمسة سادسهم كلبهم رجما بالغيب ويقولون سبعة وثامنهم كلبهم قل ربى أعلم بعدتهم ما يعلمهم إلا قليل فلا تمار فيهم إلا مراء ظهرا ولا تستفت فيهم منهم أحدا,18,الكهف,22,110,"['سيقولون', 'ثلثة', 'رابعهم', 'كلبهم', 'ويقولون', 'خمسة', 'سادسهم', 'كلبهم', 'رجما', 'بالغيب', 'ويقولون', 'سبعة', 'وثامنهم', 'كلبهم', 'قل', 'ربى', 'أعلم', 'بعدتهم', 'ما', 'يعلمهم', 'إلا', 'قليل', 'فلا', 'تمار', 'فيهم', 'إلا', 'مراء', 'ظهرا', 'ولا', 'تستفت', 'فيهم', 'منهم', 'أحدا']",33,181,2162,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
ولا تقولن لشاىء إنى فاعل ذلك غدا,18,الكهف,23,110,"['ولا', 'تقولن', 'لشاىء', 'إنى', 'فاعل', 'ذلك', 'غدا']",7,32,2163,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
إلا أن يشاء الله واذكر ربك إذا نسيت وقل عسى أن يهدين ربى لأقرب من هذا رشدا,18,الكهف,24,110,"['إلا', 'أن', 'يشاء', 'الله', 'واذكر', 'ربك', 'إذا', 'نسيت', 'وقل', 'عسى', 'أن', 'يهدين', 'ربى', 'لأقرب', 'من', 'هذا', 'رشدا']",17,74,2164,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
ولبثوا فى كهفهم ثلث مائة سنين وازدادوا تسعا,18,الكهف,25,110,"['ولبثوا', 'فى', 'كهفهم', 'ثلث', 'مائة', 'سنين', 'وازدادوا', 'تسعا']",8,43,2165,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
قل الله أعلم بما لبثوا له غيب السموت والأرض أبصر به وأسمع ما لهم من دونه من ولى ولا يشرك فى حكمه أحدا,18,الكهف,26,110,"['قل', 'الله', 'أعلم', 'بما', 'لبثوا', 'له', 'غيب', 'السموت', 'والأرض', 'أبصر', 'به', 'وأسمع', 'ما', 'لهم', 'من', 'دونه', 'من', 'ولى', 'ولا', 'يشرك', 'فى', 'حكمه', 'أحدا']",23,101,2166,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
واتل ما أوحى إليك من كتاب ربك لا مبدل لكلمته ولن تجد من دونه ملتحدا,18,الكهف,27,110,"['واتل', 'ما', 'أوحى', 'إليك', 'من', 'كتاب', 'ربك', 'لا', 'مبدل', 'لكلمته', 'ولن', 'تجد', 'من', 'دونه', 'ملتحدا']",15,67,2167,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
واصبر نفسك مع الذين يدعون ربهم بالغدوة والعشى يريدون وجهه ولا تعد عيناك عنهم تريد زينة الحيوة الدنيا ولا تطع من أغفلنا قلبه عن ذكرنا واتبع هوىه وكان أمره فرطا,18,الكهف,28,110,"['واصبر', 'نفسك', 'مع', 'الذين', 'يدعون', 'ربهم', 'بالغدوة', 'والعشى', 'يريدون', 'وجهه', 'ولا', 'تعد', 'عيناك', 'عنهم', 'تريد', 'زينة', 'الحيوة', 'الدنيا', 'ولا', 'تطع', 'من', 'أغفلنا', 'قلبه', 'عن', 'ذكرنا', 'واتبع', 'هوىه', 'وكان', 'أمره', 'فرطا']",30,158,2168,69,Al-Kahf,Medina,"Except 28, 83-101, from Medina"
وقل الحق من ربكم فمن شاء فليؤمن ومن شاء فليكفر إنا أعتدنا للظلمين نارا أحاط بهم سرادقها وإن يستغيثوا يغاثوا بماء كالمهل يشوى الوجوه بئس الشراب وساءت مرتفقا,18,الكهف,29,110,"['وقل', 'الحق', 'من', 'ربكم', 'فمن', 'شاء', 'فليؤمن', 'ومن', 'شاء', 'فليكفر', 'إنا', 'أعتدنا', 'للظلمين', 'نارا', 'أحاط', 'بهم', 'سرادقها', 'وإن', 'يستغيثوا', 'يغاثوا', 'بماء', 'كالمهل', 'يشوى', 'الوجوه', 'بئس', 'الشراب', 'وساءت', 'مرتفقا']",28,155,2169,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
إن الذين ءامنوا وعملوا الصلحت إنا لا نضيع أجر من أحسن عملا,18,الكهف,30,110,"['إن', 'الذين', 'ءامنوا', 'وعملوا', 'الصلحت', 'إنا', 'لا', 'نضيع', 'أجر', 'من', 'أحسن', 'عملا']",12,58,2170,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
أولئك لهم جنت عدن تجرى من تحتهم الأنهر يحلون فيها من أساور من ذهب ويلبسون ثيابا خضرا من سندس وإستبرق متكٔين فيها على الأرائك نعم الثواب وحسنت مرتفقا,18,الكهف,31,110,"['أولئك', 'لهم', 'جنت', 'عدن', 'تجرى', 'من', 'تحتهم', 'الأنهر', 'يحلون', 'فيها', 'من', 'أساور', 'من', 'ذهب', 'ويلبسون', 'ثيابا', 'خضرا', 'من', 'سندس', 'وإستبرق', 'متكٔين', 'فيها', 'على', 'الأرائك', 'نعم', 'الثواب', 'وحسنت', 'مرتفقا']",28,148,2171,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
واضرب لهم مثلا رجلين جعلنا لأحدهما جنتين من أعنب وحففنهما بنخل وجعلنا بينهما زرعا,18,الكهف,32,110,"['واضرب', 'لهم', 'مثلا', 'رجلين', 'جعلنا', 'لأحدهما', 'جنتين', 'من', 'أعنب', 'وحففنهما', 'بنخل', 'وجعلنا', 'بينهما', 'زرعا']",14,81,2172,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
كلتا الجنتين ءاتت أكلها ولم تظلم منه شئا وفجرنا خللهما نهرا,18,الكهف,33,110,"['كلتا', 'الجنتين', 'ءاتت', 'أكلها', 'ولم', 'تظلم', 'منه', 'شئا', 'وفجرنا', 'خللهما', 'نهرا']",11,60,2173,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وكان له ثمر فقال لصحبه وهو يحاوره أنا أكثر منك مالا وأعز نفرا,18,الكهف,34,110,"['وكان', 'له', 'ثمر', 'فقال', 'لصحبه', 'وهو', 'يحاوره', 'أنا', 'أكثر', 'منك', 'مالا', 'وأعز', 'نفرا']",13,61,2174,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
ودخل جنته وهو ظالم لنفسه قال ما أظن أن تبيد هذه أبدا,18,الكهف,35,110,"['ودخل', 'جنته', 'وهو', 'ظالم', 'لنفسه', 'قال', 'ما', 'أظن', 'أن', 'تبيد', 'هذه', 'أبدا']",12,52,2175,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وما أظن الساعة قائمة ولئن رددت إلى ربى لأجدن خيرا منها منقلبا,18,الكهف,36,110,"['وما', 'أظن', 'الساعة', 'قائمة', 'ولئن', 'رددت', 'إلى', 'ربى', 'لأجدن', 'خيرا', 'منها', 'منقلبا']",12,61,2176,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
قال له صاحبه وهو يحاوره أكفرت بالذى خلقك من تراب ثم من نطفة ثم سوىك رجلا,18,الكهف,37,110,"['قال', 'له', 'صاحبه', 'وهو', 'يحاوره', 'أكفرت', 'بالذى', 'خلقك', 'من', 'تراب', 'ثم', 'من', 'نطفة', 'ثم', 'سوىك', 'رجلا']",16,72,2177,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
لكنا هو الله ربى ولا أشرك بربى أحدا,18,الكهف,38,110,"['لكنا', 'هو', 'الله', 'ربى', 'ولا', 'أشرك', 'بربى', 'أحدا']",8,35,2178,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
ولولا إذ دخلت جنتك قلت ما شاء الله لا قوة إلا بالله إن ترن أنا أقل منك مالا وولدا,18,الكهف,39,110,"['ولولا', 'إذ', 'دخلت', 'جنتك', 'قلت', 'ما', 'شاء', 'الله', 'لا', 'قوة', 'إلا', 'بالله', 'إن', 'ترن', 'أنا', 'أقل', 'منك', 'مالا', 'وولدا']",19,81,2179,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
فعسى ربى أن يؤتين خيرا من جنتك ويرسل عليها حسبانا من السماء فتصبح صعيدا زلقا,18,الكهف,40,110,"['فعسى', 'ربى', 'أن', 'يؤتين', 'خيرا', 'من', 'جنتك', 'ويرسل', 'عليها', 'حسبانا', 'من', 'السماء', 'فتصبح', 'صعيدا', 'زلقا']",15,76,2180,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
أو يصبح ماؤها غورا فلن تستطيع له طلبا,18,الكهف,41,110,"['أو', 'يصبح', 'ماؤها', 'غورا', 'فلن', 'تستطيع', 'له', 'طلبا']",8,37,2181,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
وأحيط بثمره فأصبح يقلب كفيه على ما أنفق فيها وهى خاوية على عروشها ويقول يليتنى لم أشرك بربى أحدا,18,الكهف,42,110,"['وأحيط', 'بثمره', 'فأصبح', 'يقلب', 'كفيه', 'على', 'ما', 'أنفق', 'فيها', 'وهى', 'خاوية', 'على', 'عروشها', 'ويقول', 'يليتنى', 'لم', 'أشرك', 'بربى', 'أحدا']",19,96,2182,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
ولم تكن له فئة ينصرونه من دون الله وما كان منتصرا,18,الكهف,43,110,"['ولم', 'تكن', 'له', 'فئة', 'ينصرونه', 'من', 'دون', 'الله', 'وما', 'كان', 'منتصرا']",11,49,2183,69,Al-Kahf,Mecca,"Except 28, 83-101, from Medina"
